,Country,Time,Frequency,MEAS,Value,vegaistrash,mean,rank
0,Colombia,2000,Annual,PCT,12.3,stop,9.91904761904762,12.0
1,Colombia,2001,Annual,PCT,12.3,stop,9.91904761904762,12.0
2,Colombia,2002,Annual,PCT,10.9,stop,9.91904761904762,12.0
3,Colombia,2003,Annual,PCT,10.9,stop,9.91904761904762,12.0
4,Colombia,2004,Annual,PCT,10.5,stop,9.91904761904762,12.0
5,Colombia,2005,Annual,PCT,9.6,stop,9.91904761904762,12.0
6,Colombia,2006,Annual,PCT,9.6,stop,9.91904761904762,12.0
7,Colombia,2007,Annual,PCT,9.6,stop,9.91904761904762,12.0
8,Colombia,2008,Annual,PCT,9.6,stop,9.91904761904762,12.0
9,Colombia,2009,Annual,PCT,9.4,stop,9.91904761904762,12.0
10,Colombia,2010,Annual,PCT,9.2,stop,9.91904761904762,12.0
11,Colombia,2011,Annual,PCT,9.1,stop,9.91904761904762,12.0
12,Colombia,2012,Annual,PCT,9.1,stop,9.91904761904762,12.0
13,Colombia,2013,Annual,PCT,9.7,stop,9.91904761904762,12.0
14,Colombia,2014,Annual,PCT,9.6,stop,9.91904761904762,12.0
15,Colombia,2015,Annual,PCT,9.4,stop,9.91904761904762,12.0
16,Colombia,2016,Annual,PCT,9.5,stop,9.91904761904762,12.0
17,Colombia,2017,Annual,PCT,9.5,stop,9.91904761904762,12.0
18,Colombia,2018,Annual,PCT,9.5,stop,9.91904761904762,12.0
19,Colombia,2019,Annual,PCT,9.5,stop,9.91904761904762,12.0
20,Colombia,2020,Annual,PCT,9.5,stop,9.91904761904762,12.0
21,Denmark,2000,Annual,PCT,74.5,stop,69.56666666666668,3.0
22,Denmark,2001,Annual,PCT,73.9,stop,69.56666666666668,3.0
23,Denmark,2002,Annual,PCT,73.6,stop,69.56666666666668,3.0
24,Denmark,2003,Annual,PCT,72.4,stop,69.56666666666668,3.0
25,Denmark,2004,Annual,PCT,71.7,stop,69.56666666666668,3.0
26,Denmark,2005,Annual,PCT,71.5,stop,69.56666666666668,3.0
27,Denmark,2006,Annual,PCT,69.7,stop,69.56666666666668,3.0
28,Denmark,2007,Annual,PCT,69.0,stop,69.56666666666668,3.0
29,Denmark,2008,Annual,PCT,68.8,stop,69.56666666666668,3.0
30,Denmark,2009,Annual,PCT,68.9,stop,69.56666666666668,3.0
31,Denmark,2010,Annual,PCT,68.1,stop,69.56666666666668,3.0
32,Denmark,2011,Annual,PCT,68.7,stop,69.56666666666668,3.0
33,Denmark,2012,Annual,PCT,69.0,stop,69.56666666666668,3.0
34,Denmark,2013,Annual,PCT,68.8,stop,69.56666666666668,3.0
35,Denmark,2014,Annual,PCT,68.5,stop,69.56666666666668,3.0
36,Denmark,2015,Annual,PCT,68.2,stop,69.56666666666668,3.0
37,Denmark,2016,Annual,PCT,67.4,stop,69.56666666666668,3.0
38,Denmark,2017,Annual,PCT,66.7,stop,69.56666666666668,3.0
39,Denmark,2018,Annual,PCT,67.5,stop,69.56666666666668,3.0
40,Denmark,2019,Annual,PCT,67.0,stop,69.56666666666668,3.0
41,Denmark,2020,Annual,PCT,67.0,stop,69.56666666666668,3.0
42,Finland,2000,Annual,PCT,74.2,stop,69.13333333333333,4.0
43,Finland,2001,Annual,PCT,76.6,stop,69.13333333333333,4.0
44,Finland,2002,Annual,PCT,75.7,stop,69.13333333333333,4.0
45,Finland,2003,Annual,PCT,74.5,stop,69.13333333333333,4.0
46,Finland,2004,Annual,PCT,73.5,stop,69.13333333333333,4.0
47,Finland,2005,Annual,PCT,72.7,stop,69.13333333333333,4.0
48,Finland,2006,Annual,PCT,71.9,stop,69.13333333333333,4.0
49,Finland,2007,Annual,PCT,71.1,stop,69.13333333333333,4.0
50,Finland,2008,Annual,PCT,69.9,stop,69.13333333333333,4.0
51,Finland,2009,Annual,PCT,72.5,stop,69.13333333333333,4.0
